n_estimators,learning_rate,max_depth,val_rmse,val_mae,val_r2
100,0.01,4,6.760593269965792,4.792273356332634,0.3787304182982114
100,0.01,6,6.9025379336063315,4.885660160283034,0.35236833173727977
100,0.01,8,7.445800969820996,5.234429275397348,0.24641313664812647
100,0.05,4,5.618051403562224,4.015162935885188,0.5709757013367156
100,0.05,6,5.9318977829529445,4.2896406473789055,0.5217028528937504
100,0.05,8,6.27958528517219,4.465697954025434,0.4639906084302825
100,0.1,4,6.0011196025009035,4.395504482106565,0.5104748179091954
100,0.1,6,6.225503818426058,4.513796177371273,0.47318336426486585
100,0.1,8,6.342367245681207,4.525720348265464,0.45321921500332263
200,0.01,4,5.767551106530528,4.123339548945169,0.5478387133798036
200,0.01,6,6.008010120938966,4.287803815199026,0.5093500215337058
200,0.01,8,6.421093218215302,4.523434884501842,0.4395609056595047
200,0.05,4,6.055748324012686,4.413101913514456,0.5015218709153124
200,0.05,6,6.148162759366343,4.481611854880725,0.48619161792209187
200,0.05,8,6.329235452247212,4.522250207376788,0.4554810767889058
200,0.1,4,6.33895302611595,4.690812455912646,0.45380774200165086
200,0.1,6,6.413154798901496,4.666986026310766,0.44094579456312377
200,0.1,8,6.402475596753327,4.570999642144527,0.44280612141265385
300,0.01,4,5.619180351805337,4.025263119825277,0.5708032590224129
300,0.01,6,5.847047171996905,4.196359019300077,0.5352882344028911
300,0.01,8,6.281295792648979,4.44923555279396,0.4636985595445007
300,0.05,4,6.341390225613142,4.665097730914151,0.45338766146251375
300,0.05,6,6.185591088467549,4.506641122924072,0.47991672687934106
300,0.05,8,6.350609438514735,4.5417207018603,0.4517971589143851
300,0.1,4,6.551095555422677,4.867170004298826,0.4166377241563546
300,0.1,6,6.619362345579211,4.857254480208485,0.4044163277578734
300,0.1,8,6.451882313187234,4.607320327738192,0.43417341736051085
